device_id,ipei,device_location,location_name
VOCO_K104,0328E32865,Click and Collect 1,ST_UKTK_0787(20/3)_Bracknell
VOCO_K103,0328E40642,Fragrance,ST_UKTK_0787(20/3)_Bracknell
VOCO_K101,0328E7BD2F,Fragrance,ST_UKTK_0787(20/3)_Bracknell
VOCO_K102,0328E40905,Sales Floor 1,ST_UKTK_0787(20/3)_Bracknell
VOCO_K103,02EB63D1FC,Click and Collect,ST_UKTK_0788_(30/03/06)_Oxford_Westgate
VOCO_K104,0328E84325,Fragrance,ST_UKTK_0788_(30/03/06)_Oxford_Westgate
VOCO_K102,0328E745E7,Jewellery 1,ST_UKTK_0788_(30/03/06)_Oxford_Westgate
VOCO_K101,0328D3387C,click and collect,ST_UKTK_0788_(30/03/06)_Oxford_Westgate
VOCO_K102,0328E74615,Jewellery 1,ST_UKTK_0798(20/02/03)_Workington
VOCO_K101,0328E745CF,Sales Floor 1,ST_UKTK_0798(20/02/03)_Workington
VOCO_K101,0328E8732D,Click & Collect,ST_UKTK_0799(30/03/05)_Glasgow Braehead
VOCO_K104,0328E9CBAA,Fragrance 1,ST_UKTK_0799(30/03/05)_Glasgow Braehead
VOCO_K103,0328E89469,,ST_UKTK_0799(30/03/05)_Glasgow Braehead
VOCO_K103,0328E88C33,Click and Collect,ST_UKTK_0878(65/03/01)_London Marble Arch
VOCO_K113,0328E8404C,Fragrance,ST_UKTK_0878(65/03/01)_London Marble Arch
VOCO_K105,0328E870A4,Fragrance 2,ST_UKTK_0878(65/03/01)_London Marble Arch
VOCO_K106,0328E870B8,Gold Label Handbags 1,ST_UKTK_0878(65/03/01)_London Marble Arch
VOCO_K107,0328E872BC,Gold Label Handbags 2,ST_UKTK_0878(65/03/01)_London Marble Arch
VOCO_K108,0328E86F75,Gold Label Handbags 3,ST_UKTK_0878(65/03/01)_London Marble Arch
VOCO_K109,0328E872F2,Gold Label Handbags 4,ST_UKTK_0878(65/03/01)_London Marble Arch
VOCO_K104,0328E872D6,Gold Label Handbags 5,ST_UKTK_0878(65/03/01)_London Marble Arch
VOCO_K111,0328E88C45,Mens Gold Label,ST_UKTK_0878(65/03/01)_London Marble Arch
VOCO_K101,0328E88C18,gold label handbags 6,ST_UKTK_0878(65/03/01)_London Marble Arch
VOCO_K112,0328E88D0F,,ST_UKTK_0878(65/03/01)_London Marble Arch
VOCO_K103,0328E74341,Click and Collect,ST_UKTK_101(35/02/04)_Bristol
VOCO_K104,0328E841C5,Fragrance,ST_UKTK_101(35/02/04)_Bristol
VOCO_K106,0328E88C81,Gold Label Handbag,ST_UKTK_101(35/02/04)_Bristol
VOCO_K102,0328E9CDBE,GoldLabel Handbags,ST_UKTK_101(35/02/04)_Bristol
VOCO_K103,0328E870EA,Click and Collect ,ST_UKTK_102(41/04/06)_Liverpool
VOCO_K106,0328E84045,Fragrance ,ST_UKTK_102(41/04/06)_Liverpool
VOCO_K104,0328E7B8F1,Gold Label Handbag,ST_UKTK_102(41/04/06)_Liverpool
VOCO_K102,0328E7B912,Jewellery 1,ST_UKTK_102(41/04/06)_Liverpool
VOCO_K101,0328EA7516,mens gold label,ST_UKTK_102(41/04/06)_Liverpool
VOCO_K103,0328E7BCE9,Click and Collect,ST_UKTK_105(30/01/03)_Hatfield
VOCO_K101,0328E7B71E,Fragrance 2,ST_UKTK_105(30/01/03)_Hatfield
VOCO_K103,0328E871A6,Click and Collect,ST_UKTK_107(35/02/04)_Newcastle
VOCO_K102,0328E7BE23,Fragrance 1,ST_UKTK_107(35/02/04)_Newcastle
VOCO_K104,0328E7BB20,Fragrance 2,ST_UKTK_107(35/02/04)_Newcastle
VOCO_K101,0328E32675,Mens Gold Label 1,ST_UKTK_107(35/02/04)_Newcastle
VOCO_K102,0328E7B8FD,Click and Collect 1,ST_UKTK_109(23/03/02)_Woking
VOCO_K106,0328E9CDAE,Fragrance,ST_UKTK_109(23/03/02)_Woking
VOCO_K104,0328D33975,Jewellery 2,ST_UKTK_109(23/03/02)_Woking
VOCO_K105,0328E407A5,Jewellery 3,ST_UKTK_109(23/03/02)_Woking
VOCO_K101,0328E7B90F,Sales Floor 1,ST_UKTK_109(23/03/02)_Woking
VOCO_K103,0328E0F774,Click and Collect,ST_UKTK_112(25/03/)_Hull
VOCO_K102,0328E89373,Fragrance,ST_UKTK_112(25/03/)_Hull
VOCO_K101,0328E89377,Sales Floor 1,ST_UKTK_112(25/03/)_Hull
VOCO_K105,0328DEFE90,Click 2,ST_UKTK_114(18/4)_Salisbury
VOCO_K103,0328E32860,Click and Collect,ST_UKTK_114(18/4)_Salisbury
VOCO_K104,0328E32619,Fragrance,ST_UKTK_114(18/4)_Salisbury
VOCO_K103,0328E7438C,Click and Collect,ST_UKTK_115(25/02/04)_Banbury
VOCO_K105,0328E7BB15,Fragrance,ST_UKTK_115(25/02/04)_Banbury
VOCO_K102,0328E743B2,Jewellery 1,ST_UKTK_115(25/02/04)_Banbury
VOCO_K102,0328E9CE39,Fragrance,ST_UKTK_116(20/2)_Preston
VOCO_K101,0328E4078B,Jewellery,ST_UKTK_116(20/2)_Preston
VOCO_K103,0328E7B92A,Click and Collect,ST_UKTK_117(30/03/05)_Ilford
VOCO_K101,0328E7B91F,Fragrance,ST_UKTK_117(30/03/05)_Ilford
VOCO_K106,0328E9CC65,Mens Department,ST_UKTK_117(30/03/05)_Ilford
VOCO_K107,0328E9CCC8,Womens Department,ST_UKTK_117(30/03/05)_Ilford
VOCO_K103,02EB63D1D0,Click and Collect,ST_UKTK_118(28/05/02)_Glasgow
VOCO_K106,0328EA136A,Fragrance 2,ST_UKTK_118(28/05/02)_Glasgow
VOCO_K105,02EB63D29C,Sales Floor 3,ST_UKTK_118(28/05/02)_Glasgow
VOCO_K102,0328D343A0,Click and Collect,ST_UKTK_119(25/01/04)_Harrogate
VOCO_K101,0328E834D7,Fragrance,ST_UKTK_119(25/01/04)_Harrogate
VOCO_K101,0328E329CE,Click and Collect,ST_UKTK_120(30/3/5)_Merry Hill
VOCO_K102,0328E329D9,Fragrance,ST_UKTK_120(30/3/5)_Merry Hill
VOCO_K103,0328E7B74B,Click and Collect,ST_UKTK_121(35/02/05)_Leicester
VOCO_K102,0328DAC08A,Click and collect 2,ST_UKTK_121(35/02/05)_Leicester
VOCO_K104,0328E326C9,Fragrance,ST_UKTK_121(35/02/05)_Leicester
VOCO_K101,0328E84050,Fragrance 2,ST_UKTK_121(35/02/05)_Leicester
VOCO_K102,0328EA13B6,Fragrance,ST_UKTK_122(30/2)_Plymouth
VOCO_K101,0328D343E1,Sales Floor 1,ST_UKTK_122(30/2)_Plymouth
VOCO_K103,0328DAC096,Click and Collect,ST_UKTK_123(35/02/06)_Sheffield
VOCO_K104,0328E832FF,Fragrance 1 ,ST_UKTK_123(35/02/06)_Sheffield
VOCO_K102,0328E88CF6,Fragrance 2,ST_UKTK_123(35/02/06)_Sheffield
VOCO_K102,0328E86FD5,Click and Collect,ST_UKTK_124(23/02/04)_Slough
VOCO_K101,0328E744B9,Click and Collect,ST_UKTK_127(41/03/04)_Leeds
