snapshot_file,processed_time
TJX_VCV33x0_2026-04-29_07-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_08-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_09-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_10-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_11-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_12-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_13-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_14-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_15-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_16-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_17-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_18-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_19-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_20-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_21-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_22-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-29_23-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_00-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_01-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_02-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_03-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_04-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_05-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_06-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_07-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_08-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_09-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_10-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_11-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_12-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_13-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_14-30-10.csv,2026-05-06T12:23:14.212655
